threshold,recall,specificity,precision,f1,false_negatives,false_positives,accuracy,balanced_accuracy
0.52,0.7927927927927928,0.8854961832061069,0.8543689320388349,0.822429906542056,23,15,0.8429752066115702,0.8391444879994499
0.53,0.7837837837837838,0.8854961832061069,0.8529411764705882,0.8169014084507041,24,15,0.8388429752066116,0.8346399834949454
0.54,0.7837837837837838,0.8931297709923665,0.8613861386138614,0.8207547169811322,24,14,0.8429752066115702,0.8384567773880751
0.55,0.7747747747747747,0.8931297709923665,0.86,0.8151658767772512,25,14,0.8388429752066116,0.8339522728835707
0.56,0.7747747747747747,0.9007633587786259,0.8686868686868687,0.8190476190476191,25,13,0.8429752066115702,0.8377690667767004
0.5700000000000001,0.7747747747747747,0.9007633587786259,0.8686868686868687,0.8190476190476191,25,13,0.8429752066115702,0.8377690667767004
0.58,0.7747747747747747,0.9083969465648855,0.8775510204081632,0.8229665071770335,25,12,0.8471074380165289,0.8415858606698301
0.59,0.7747747747747747,0.9083969465648855,0.8775510204081632,0.8229665071770335,25,12,0.8471074380165289,0.8415858606698301
0.6,0.7657657657657657,0.9083969465648855,0.8762886597938144,0.8173076923076923,26,12,0.8429752066115702,0.8370813561653256
0.61,0.7657657657657657,0.9083969465648855,0.8762886597938144,0.8173076923076923,26,12,0.8429752066115702,0.8370813561653256
0.62,0.7567567567567568,0.916030534351145,0.8842105263157894,0.8155339805825244,27,11,0.8429752066115702,0.8363936455539509
0.63,0.7567567567567568,0.9236641221374046,0.8936170212765957,0.8195121951219513,27,10,0.8471074380165289,0.8402104394470806
0.64,0.7477477477477478,0.9236641221374046,0.8924731182795699,0.8137254901960784,28,10,0.8429752066115702,0.8357059349425762
0.65,0.7387387387387387,0.9236641221374046,0.8913043478260869,0.8078817733990147,29,10,0.8388429752066116,0.8312014304380717
0.66,0.7387387387387387,0.9236641221374046,0.8913043478260869,0.8078817733990147,29,10,0.8388429752066116,0.8312014304380717
0.67,0.7207207207207207,0.9236641221374046,0.8888888888888888,0.7960199004975124,31,10,0.8305785123966942,0.8221924214290626
0.6799999999999999,0.7117117117117117,0.9312977099236641,0.8977272727272727,0.793969849246231,32,9,0.8305785123966942,0.8215047108176878
0.69,0.7117117117117117,0.9389312977099237,0.9080459770114943,0.7979797979797979,32,8,0.8347107438016529,0.8253215047108177
0.7,0.6936936936936937,0.9389312977099237,0.9058823529411765,0.7857142857142858,34,8,0.8264462809917356,0.8163124957018086
0.71,0.6666666666666666,0.9389312977099237,0.9024390243902439,0.7668393782383419,37,8,0.8140495867768595,0.8027989821882952
0.72,0.6576576576576577,0.9389312977099237,0.9012345679012346,0.7604166666666667,38,8,0.8099173553719008,0.7982944776837907
0.73,0.6486486486486487,0.9389312977099237,0.9,0.7539267015706806,39,8,0.8057851239669421,0.7937899731792861
0.74,0.6486486486486487,0.9389312977099237,0.9,0.7539267015706806,39,8,0.8057851239669421,0.7937899731792861
0.75,0.6486486486486487,0.9465648854961832,0.9113924050632911,0.7578947368421052,39,7,0.8099173553719008,0.797606767072416
0.76,0.6396396396396397,0.9541984732824428,0.922077922077922,0.7553191489361702,40,6,0.8099173553719008,0.7969190564610412
0.77,0.6216216216216216,0.9541984732824428,0.92,0.7419354838709677,42,6,0.8016528925619835,0.7879100474520322
0.78,0.6126126126126126,0.9541984732824428,0.918918918918919,0.7351351351351352,43,6,0.7975206611570248,0.7834055429475277
0.79,0.5855855855855856,0.9541984732824428,0.9154929577464789,0.7142857142857143,46,6,0.7851239669421488,0.7698920294340141
0.8,0.5855855855855856,0.9541984732824428,0.9154929577464789,0.7142857142857143,46,6,0.7851239669421488,0.7698920294340141
0.8099999999999999,0.5855855855855856,0.9541984732824428,0.9154929577464789,0.7142857142857143,46,6,0.7851239669421488,0.7698920294340141
0.82,0.5585585585585585,0.9541984732824428,0.9117647058823529,0.6927374301675977,49,6,0.7727272727272727,0.7563785159205006
0.83,0.5585585585585585,0.9541984732824428,0.9117647058823529,0.6927374301675977,49,6,0.7727272727272727,0.7563785159205006
0.84,0.5405405405405406,0.9618320610687023,0.9230769230769231,0.6818181818181818,51,5,0.768595041322314,0.7511863008046215
0.85,0.5225225225225225,0.9618320610687023,0.9206349206349206,0.6666666666666666,53,5,0.7603305785123967,0.7421772917956124
0.86,0.5135135135135135,0.9618320610687023,0.9193548387096774,0.6589595375722543,54,5,0.756198347107438,0.737672787291108
0.87,0.5045045045045045,0.9618320610687023,0.9180327868852459,0.6511627906976745,55,5,0.7520661157024794,0.7331682827866034
0.88,0.4954954954954955,0.9618320610687023,0.9166666666666666,0.6432748538011696,56,5,0.7479338842975206,0.7286637782820989
0.89,0.4864864864864865,0.9618320610687023,0.9152542372881356,0.6352941176470588,57,5,0.743801652892562,0.7241592737775944
0.9,0.45045045045045046,0.9618320610687023,0.9090909090909091,0.6024096385542169,61,5,0.7272727272727273,0.7061412557595764
